subscription_id,date,account_id,account_name,plan,seats,mrr,cost,region
SUB-40000,2024-01-22,ACC-2113,Patel Labs,Pro,7,693,242.55,APAC
SUB-40001,2024-01-22,ACC-2061,Brooks Inc,Pro,9,891,311.85,LATAM
SUB-40002,2024-01-07,ACC-2047,Rossi Labs,Pro,19,1881,658.35,North America
SUB-40003,2024-01-21,ACC-2059,Haddad Group,Starter,13,377,131.95,North America
SUB-40004,2024-01-01,ACC-2001,Cohen Digital,Starter,5,145,50.75,North America
SUB-40005,2024-01-05,ACC-2055,Garcia Co,Pro,17,1683,589.05,LATAM
SUB-40006,2024-01-19,ACC-2103,Silva Labs,Starter,2,58,20.3,LATAM
SUB-40007,2024-01-09,ACC-2019,Haddad Co,Enterprise,14,11186,3915.1,LATAM
SUB-40008,2024-01-24,ACC-2002,Haddad Group,Starter,9,261,91.35,APAC
SUB-40009,2024-01-26,ACC-2017,Haddad Co,Enterprise,7,5593,1957.55,APAC
SUB-40010,2024-01-26,ACC-2019,Haddad Co,Pro,3,297,103.95,APAC
SUB-40011,2024-01-12,ACC-2067,Patel Group,Enterprise,6,4794,1677.9,LATAM
SUB-40012,2024-01-20,ACC-2069,Reyes Group,Enterprise,11,8789,3076.15,North America
SUB-40013,2024-01-23,ACC-2003,Okafor Systems,Enterprise,18,14382,5033.7,North America
SUB-40014,2024-01-25,ACC-2108,Kim Co,Starter,19,551,192.85,Europe
SUB-40015,2024-01-13,ACC-2003,Okafor Systems,Enterprise,13,10387,3635.45,APAC
SUB-40016,2024-01-05,ACC-2079,Haddad Systems,Business,11,2739,958.65,LATAM
SUB-40017,2024-01-02,ACC-2106,Tanaka Systems,Enterprise,18,14382,5033.7,Europe
SUB-40018,2024-01-07,ACC-2118,Tanaka Co,Starter,4,116,40.6,North America
SUB-40019,2024-01-12,ACC-2119,Cohen Systems,Starter,12,348,121.8,APAC
SUB-40020,2024-01-13,ACC-2063,Silva Systems,Starter,11,319,111.65,LATAM
SUB-40021,2024-01-13,ACC-2000,Reyes Group,Enterprise,8,6392,2237.2,APAC
SUB-40022,2024-01-23,ACC-2070,Kim Co,Pro,9,891,311.85,LATAM
SUB-40023,2024-01-08,ACC-2083,Silva Co,Enterprise,3,2397,838.95,LATAM
SUB-40024,2024-01-02,ACC-2044,Rossi Co,Starter,16,464,162.4,LATAM
SUB-40025,2024-01-13,ACC-2025,Silva Group,Enterprise,15,11985,4194.75,APAC
SUB-40026,2024-01-11,ACC-2083,Silva Co,Enterprise,8,6392,2237.2,Europe
SUB-40027,2024-01-19,ACC-2108,Kim Co,Pro,6,594,207.9,APAC
SUB-40028,2024-01-21,ACC-2001,Cohen Digital,Business,17,4233,1481.55,APAC
SUB-40029,2024-01-07,ACC-2104,Cohen Labs,Enterprise,9,7191,2516.85,APAC
SUB-40030,2024-01-17,ACC-2102,Haddad Inc,Enterprise,16,12784,4474.4,Europe
SUB-40031,2024-01-20,ACC-2069,Reyes Group,Pro,2,198,69.3,APAC
SUB-40032,2024-01-21,ACC-2074,Silva Digital,Pro,6,594,207.9,Europe
SUB-40033,2024-01-09,ACC-2113,Patel Labs,Business,5,1245,435.75,North America
SUB-40034,2024-01-09,ACC-2019,Haddad Co,Enterprise,13,10387,3635.45,Europe
SUB-40035,2024-01-11,ACC-2053,Tanaka Systems,Starter,5,145,50.75,LATAM
SUB-40036,2024-01-01,ACC-2058,Haddad Group,Business,1,249,87.15,North America
SUB-40037,2024-01-24,ACC-2057,Patel Digital,Enterprise,5,3995,1398.25,Europe
SUB-40038,2024-01-26,ACC-2071,Brooks Digital,Enterprise,17,13583,4754.05,APAC
SUB-40039,2024-01-16,ACC-2053,Tanaka Systems,Starter,11,319,111.65,Europe
SUB-40040,2024-01-08,ACC-2118,Tanaka Co,Business,7,1743,610.05,Europe
SUB-40041,2024-01-22,ACC-2105,Nguyen Co,Business,16,3984,1394.4,North America
SUB-40042,2024-01-12,ACC-2109,Okafor Co,Enterprise,6,4794,1677.9,LATAM
SUB-40043,2024-01-16,ACC-2002,Haddad Group,Pro,9,891,311.85,North America
SUB-40044,2024-01-13,ACC-2013,Kim Co,Business,11,2739,958.65,Europe
SUB-40045,2024-01-15,ACC-2096,Haddad Inc,Pro,14,1386,485.1,LATAM
SUB-40046,2024-01-13,ACC-2016,Kim Group,Business,14,3486,1220.1,Europe
SUB-40047,2024-01-27,ACC-2016,Kim Group,Starter,12,348,121.8,Europe
SUB-40048,2024-01-18,ACC-2108,Kim Co,Starter,16,464,162.4,LATAM
SUB-40049,2024-01-02,ACC-2085,Haddad Group,Pro,14,1386,485.1,APAC
SUB-40050,2024-01-08,ACC-2038,Kim Labs,Business,16,3984,1394.4,LATAM
SUB-40051,2024-01-06,ACC-2051,Rossi Labs,Starter,6,174,60.9,LATAM
SUB-40052,2024-01-25,ACC-2077,Reyes Co,Business,19,4731,1655.85,APAC
SUB-40053,2024-01-20,ACC-2047,Rossi Labs,Starter,1,29,10.15,APAC
SUB-40054,2024-01-18,ACC-2075,Brooks Group,Enterprise,6,4794,1677.9,LATAM
SUB-40055,2024-01-20,ACC-2105,Nguyen Co,Enterprise,16,12784,4474.4,Europe
SUB-40056,2024-01-05,ACC-2006,Silva Inc,Business,1,249,87.15,APAC
SUB-40057,2024-01-10,ACC-2050,Tanaka Digital,Business,14,3486,1220.1,North America
SUB-40058,2024-01-01,ACC-2070,Kim Co,Business,12,2988,1045.8,Europe
SUB-40059,2024-01-07,ACC-2102,Haddad Inc,Business,4,996,348.6,LATAM
SUB-40060,2024-01-11,ACC-2015,Haddad Inc,Enterprise,8,6392,2237.2,Europe
